Subject,Profit,Role,endowment,choice,Belief,TimeCQ,CountCQ,SVO,Studium,Semesterzahl,Alter,Geschlecht,Session
55,15.16,1,19,5,0,3,0,0.625108534232923,Master General Management,2,30,0,2
56,19,1,19,1,1,3,0,0.136402604400947,Humanmedizin,3,23,0,2
57,11.7,0,11,1,0,3,0,0.198167760468595,Verhaltenswissenschaften/ Kommunikationswissenschaft,1,19,1,2
58,10.92,0,11,1,0,11,0,0.136402604400947,Wirtschaftsing.,4,23,0,2
59,17.58,1,19,3,0,3,0,0.375270822855957,Medizin,1,19,1,2
60,11.36,0,11,1,0,3,0,0.348292992148039,Sozial und Verhaltenswissenschaften/Politikwissenschaft,1,21,0,2
61,19.38,1,19,1,0,3,0,0.283794109208328,Physik,7,23,0,2
62,15,1,19,5,0,3,0,0.608689307327412,FH Mechatronik,1,34,0,2
65,10,0,11,3,0,4,0,0.414055950220339,Ernährungswissenschaften,1,20,1,3
66,20,1,19,1,0,4,0,0.654191491000836,Lehramt Mathematik Regelschule,1,27,0,3
67,19.7,1,19,1,0,4,0,0.136402604400947,Sozial- und Verhaltenswissenschaft/ Sportwissenschaft M.A.,3.,24,0,3
68,9.7,0,11,3,0,5,0,0.239038138948469,Kommunikationswiss.,5,21,1,3
69,15.36,1,19,5,0,4,0,0.644347132280099,Philosophische Fakultät / Germanistik,5,21,1,3
70,11.5,0,11,1,0,3,0,0.561264791039019,Physik,3,24,0,3
71,9.7,0,11,3,0,4,0,0.608689307327412,fsu lehramt,6,22,1,3
72,20,1,19,1,0,4,1,0.173535577538174,Kommunikationswissenschaft,1,19,1,3
73,10,0,11,3,1,4,0,0.659907235980692,Kommunikationswissenschaft,1,22,1,3
74,11.5,0,11,1,1,4,0,0.654191491000836,sozialwissenschaftliche Fakultät/Soziologie,1,20,1,3
75,18,1,19,3,0,4,0,0.283794109208328,Sportwissenschaft,5,21,0,3
76,11.7,0,11,1,1,4,0,0.136402604400947,Rewi,1,19,0,3
77,9.7,0,11,3,0,51,1,0.785398163397448,Wirtscharftsingeniuerwesen Informationsrtechnik,3,21,1,3
78,19.36,1,19,1,0,4,0,0.343569940912447,Philosophie,3,23,0,3
